No.,Time,Source,Destination,Protocol,Length,Info,Len
312,2.760322,172.28.0.20,172.28.0.10,TCP,2962,"55206  >  5000 [PSH, ACK] Seq=499666 Ack=1 Win=64512 Len=2896 TSval=1939600819 TSecr=3899497506",2896
313,2.760324,172.28.0.20,172.28.0.10,TCP,1514,55206  >  5000 [ACK] Seq=502562 Ack=1 Win=64512 Len=1448 TSval=1939600819 TSecr=3899497506,1448
314,2.760351,172.28.0.10,172.28.0.20,TCP,66,5000  >  55206 [ACK] Seq=1 Ack=504010 Win=98304 Len=0 TSval=3899497557 TSecr=1939600819,0
315,2.81052,172.28.0.20,172.28.0.10,TCP,2962,"55206  >  5000 [PSH, ACK] Seq=504010 Ack=1 Win=64512 Len=2896 TSval=1939600870 TSecr=3899497557",2896
316,2.81056,172.28.0.20,172.28.0.10,TCP,2962,"55206  >  5000 [PSH, ACK] Seq=506906 Ack=1 Win=64512 Len=2896 TSval=1939600870 TSecr=3899497557",2896
317,2.810563,172.28.0.20,172.28.0.10,RSL,2370,[Malformed Packet],0
318,2.810603,172.28.0.10,172.28.0.20,TCP,66,5000  >  55206 [ACK] Seq=1 Ack=512106 Win=98304 Len=0 TSval=3899497607 TSecr=1939600870,0
319,2.811019,172.28.0.10,172.28.0.20,TCP,69,"5000  >  55206 [PSH, ACK] Seq=1 Ack=512106 Win=98304 Len=3 TSval=3899497607 TSecr=1939600870",3
320,2.861071,172.28.0.20,172.28.0.10,TCP,66,55206  >  5000 [ACK] Seq=512106 Ack=4 Win=64512 Len=0 TSval=1939600920 TSecr=3899497607,0
321,2.861123,172.28.0.20,172.28.0.10,TCP,66,"55206  >  5000 [FIN, ACK] Seq=512106 Ack=4 Win=64512 Len=0 TSval=1939600920 TSecr=3899497607",0
322,2.901343,172.28.0.10,172.28.0.20,TCP,66,5000  >  55206 [ACK] Seq=4 Ack=512107 Win=98304 Len=0 TSval=3899497698 TSecr=1939600920,0
