No.,Time,Source,Destination,Protocol,Length,Info,Len
92,0.943444,172.28.0.10,172.28.0.20,TCP,66,5000  >  37376 [ACK] Seq=1 Ack=118842 Win=98304 Len=0 TSval=3899640473 TSecr=1939743645,0
93,1.002463,172.28.0.20,172.28.0.10,TCP,2962,"[TCP Previous segment not captured] 37376  >  5000 [PSH, ACK] Seq=121738 Ack=1 Win=64512 Len=2896 TSval=1939743744 TSecr=3899640431",2896
94,1.002498,172.28.0.10,172.28.0.20,TCP,78,[TCP Dup ACK 92#1] 5000  >  37376 [ACK] Seq=1 Ack=118842 Win=98304 Len=0 TSval=3899640532 TSecr=1939743645 SLE=121738 SRE=124634,0
95,1.003519,172.28.0.20,172.28.0.10,TCP,2962,"37376  >  5000 [PSH, ACK] Seq=124634 Ack=1 Win=64512 Len=2896 TSval=1939743745 TSecr=3899640432",2896
96,1.003554,172.28.0.10,172.28.0.20,TCP,78,[TCP Dup ACK 92#2] 5000  >  37376 [ACK] Seq=1 Ack=118842 Win=98304 Len=0 TSval=3899640533 TSecr=1939743645 SLE=121738 SRE=127530,0
97,1.043511,172.28.0.20,172.28.0.10,TCP,1514,37376  >  5000 [ACK] Seq=127530 Ack=1 Win=64512 Len=1448 TSval=1939743786 TSecr=3899640473,1448
98,1.043546,172.28.0.10,172.28.0.20,TCP,78,[TCP Dup ACK 92#3] 5000  >  37376 [ACK] Seq=1 Ack=118842 Win=98304 Len=0 TSval=3899640573 TSecr=1939743645 SLE=121738 SRE=128978,0
99,1.102672,172.28.0.20,172.28.0.10,TCP,2962,"37376  >  5000 [PSH, ACK] Seq=128978 Ack=1 Win=64512 Len=2896 TSval=1939743845 TSecr=3899640532",2896
100,1.103697,172.28.0.20,172.28.0.10,TCP,1514,[TCP Out-Of-Order] 37376  >  5000 [ACK] Seq=118842 Ack=1 Win=64512 Len=1448 TSval=1939743846 TSecr=3899640533,1448
101,1.103734,172.28.0.10,172.28.0.20,TCP,78,5000  >  37376 [ACK] Seq=1 Ack=120290 Win=97280 Len=0 TSval=3899640633 TSecr=1939743846 SLE=121738 SRE=131874,0
102,1.143729,172.28.0.20,172.28.0.10,TCP,1514,[TCP Out-Of-Order] 37376  >  5000 [ACK] Seq=120290 Ack=1 Win=64512 Len=1448 TSval=1939743886 TSecr=3899640573,1448
103,1.14377,172.28.0.10,172.28.0.20,TCP,66,5000  >  37376 [ACK] Seq=1 Ack=131874 Win=89088 Len=0 TSval=3899640673 TSecr=1939743886,0
104,1.203913,172.28.0.20,172.28.0.10,TCP,2962,"37376  >  5000 [PSH, ACK] Seq=131874 Ack=1 Win=64512 Len=2896 TSval=1939743946 TSecr=3899640633",2896
105,1.203953,172.28.0.10,172.28.0.20,TCP,66,5000  >  37376 [ACK] Seq=1 Ack=134770 Win=96256 Len=0 TSval=3899640733 TSecr=1939743946,0
106,1.203957,172.28.0.20,172.28.0.10,RSL,1514,unknown 12 ,0
107,1.24391,172.28.0.20,172.28.0.10,TCP,1514,37376  >  5000 [ACK] Seq=136218 Ack=1 Win=64512 Len=1448 TSval=1939743986 TSecr=3899640673,1448
108,1.243948,172.28.0.10,172.28.0.20,TCP,66,5000  >  37376 [ACK] Seq=1 Ack=137666 Win=97280 Len=0 TSval=3899640773 TSecr=1939743946,0
109,1.304107,172.28.0.20,172.28.0.10,TCP,2962,"37376  >  5000 [PSH, ACK] Seq=137666 Ack=1 Win=64512 Len=2896 TSval=1939744046 TSecr=3899640733",2896
110,1.304258,172.28.0.10,172.28.0.20,TCP,66,5000  >  37376 [ACK] Seq=1 Ack=140562 Win=98304 Len=0 TSval=3899640833 TSecr=1939744046,0
111,1.344008,172.28.0.20,172.28.0.10,TCP,2962,"37376  >  5000 [PSH, ACK] Seq=140562 Ack=1 Win=64512 Len=2896 TSval=1939744086 TSecr=3899640773",2896
112,1.344035,172.28.0.20,172.28.0.10,TCP,1514,37376  >  5000 [ACK] Seq=143458 Ack=1 Win=64512 Len=1448 TSval=1939744086 TSecr=3899640773,1448
113,1.344116,172.28.0.10,172.28.0.20,TCP,66,5000  >  37376 [ACK] Seq=1 Ack=144906 Win=98304 Len=0 TSval=3899640873 TSecr=1939744086,0
114,1.444202,172.28.0.20,172.28.0.10,TCP,2962,"[TCP Previous segment not captured] 37376  >  5000 [PSH, ACK] Seq=150698 Ack=1 Win=64512 Len=2896 TSval=1939744186 TSecr=3899640873",2896
115,1.444236,172.28.0.10,172.28.0.20,TCP,78,[TCP Dup ACK 113#1] 5000  >  37376 [ACK] Seq=1 Ack=144906 Win=98304 Len=0 TSval=3899640973 TSecr=1939744086 SLE=150698 SRE=153594,0
116,1.544409,172.28.0.20,172.28.0.10,TCP,2962,"[TCP Retransmission] 37376  >  5000 [PSH, ACK] Seq=144906 Ack=1 Win=64512 Len=2896 TSval=1939744286 TSecr=3899640973",2896
117,1.544452,172.28.0.10,172.28.0.20,TCP,78,5000  >  37376 [ACK] Seq=1 Ack=147802 Win=96256 Len=0 TSval=3899641074 TSecr=1939744286 SLE=150698 SRE=153594,0
118,1.572577,172.28.0.20,172.28.0.10,TCP,2962,"[TCP Retransmission] 37376  >  5000 [PSH, ACK] Seq=147802 Ack=1 Win=64512 Len=2896 TSval=1939744315 TSecr=3899640973",2896
119,1.57263,172.28.0.10,172.28.0.20,TCP,66,5000  >  37376 [ACK] Seq=1 Ack=153594 Win=93184 Len=0 TSval=3899641102 TSecr=1939744315,0
120,1.644513,172.28.0.20,172.28.0.10,TCP,2962,"37376  >  5000 [PSH, ACK] Seq=153594 Ack=1 Win=64512 Len=2896 TSval=1939744387 TSecr=3899641074",2896
121,1.644562,172.28.0.10,172.28.0.20,TCP,66,5000  >  37376 [ACK] Seq=1 Ack=156490 Win=96256 Len=0 TSval=3899641174 TSecr=1939744387,0
122,1.672688,172.28.0.20,172.28.0.10,TCP,2962,"37376  >  5000 [PSH, ACK] Seq=156490 Ack=1 Win=64512 Len=2896 TSval=1939744415 TSecr=3899641102",2896
123,1.672735,172.28.0.10,172.28.0.20,TCP,66,5000  >  37376 [ACK] Seq=1 Ack=159386 Win=96256 Len=0 TSval=3899641202 TSecr=1939744415,0
124,1.744736,172.28.0.20,172.28.0.10,TCP,2962,"37376  >  5000 [PSH, ACK] Seq=159386 Ack=1 Win=64512 Len=2896 TSval=1939744487 TSecr=3899641174",2896
125,1.744784,172.28.0.10,172.28.0.20,TCP,66,5000  >  37376 [ACK] Seq=1 Ack=162282 Win=96256 Len=0 TSval=3899641274 TSecr=1939744487,0
126,1.744787,172.28.0.20,172.28.0.10,TCP,1514,37376  >  5000 [ACK] Seq=162282 Ack=1 Win=64512 Len=1448 TSval=1939744487 TSecr=3899641174,1448
127,1.772906,172.28.0.20,172.28.0.10,TCP,2962,"37376  >  5000 [PSH, ACK] Seq=163730 Ack=1 Win=64512 Len=2896 TSval=1939744515 TSecr=3899641202",2896
128,1.772952,172.28.0.10,172.28.0.20,TCP,66,5000  >  37376 [ACK] Seq=1 Ack=166626 Win=96256 Len=0 TSval=3899641302 TSecr=1939744487,0
129,1.844838,172.28.0.20,172.28.0.10,TCP,2962,"37376  >  5000 [PSH, ACK] Seq=166626 Ack=1 Win=64512 Len=2896 TSval=1939744587 TSecr=3899641274",2896
130,1.844883,172.28.0.10,172.28.0.20,TCP,66,5000  >  37376 [ACK] Seq=1 Ack=169522 Win=96256 Len=0 TSval=3899641374 TSecr=1939744587,0
131,1.873025,172.28.0.20,172.28.0.10,TCP,2962,"37376  >  5000 [PSH, ACK] Seq=169522 Ack=1 Win=64512 Len=2896 TSval=1939744615 TSecr=3899641302",2896
132,1.873061,172.28.0.10,172.28.0.20,TCP,66,5000  >  37376 [ACK] Seq=1 Ack=172418 Win=96256 Len=0 TSval=3899641402 TSecr=1939744615,0
133,1.873065,172.28.0.20,172.28.0.10,RSL,1514,ERROR REPORT ,0
134,1.920538,172.28.0.10,172.28.0.20,TCP,66,5000  >  37376 [ACK] Seq=1 Ack=173866 Win=98304 Len=0 TSval=3899641450 TSecr=1939744615,0
135,1.944955,172.28.0.20,172.28.0.10,TCP,2962,"37376  >  5000 [PSH, ACK] Seq=173866 Ack=1 Win=64512 Len=2896 TSval=1939744687 TSecr=3899641374",2896
136,1.945006,172.28.0.10,172.28.0.20,TCP,66,5000  >  37376 [ACK] Seq=1 Ack=176762 Win=98304 Len=0 TSval=3899641474 TSecr=1939744687,0
137,1.97328,172.28.0.20,172.28.0.10,RSL,2962,DELETE INDication (CCCH) (SM) ,0
138,1.973355,172.28.0.10,172.28.0.20,TCP,66,5000  >  37376 [ACK] Seq=1 Ack=179658 Win=98304 Len=0 TSval=3899641502 TSecr=1939744715,0
139,2.020603,172.28.0.20,172.28.0.10,TCP,1514,37376  >  5000 [ACK] Seq=179658 Ack=1 Win=64512 Len=1448 TSval=1939744763 TSecr=3899641450,1448
140,2.045062,172.28.0.20,172.28.0.10,RSL,2962,PAGING Huawei extension ,0
141,2.045124,172.28.0.10,172.28.0.20,TCP,66,5000  >  37376 [ACK] Seq=1 Ack=184002 Win=98304 Len=0 TSval=3899641574 TSecr=1939744763,0
142,2.1452,172.28.0.20,172.28.0.10,TCP,1514,[TCP Previous segment not captured] 37376  >  5000 [ACK] Seq=191242 Ack=1 Win=64512 Len=1448 TSval=1939744887 TSecr=3899641574,1448
143,2.145232,172.28.0.10,172.28.0.20,TCP,78,[TCP Dup ACK 141#1] 5000  >  37376 [ACK] Seq=1 Ack=184002 Win=98304 Len=0 TSval=3899641674 TSecr=1939744763 SLE=191242 SRE=192690,0
144,2.245292,172.28.0.20,172.28.0.10,TCP,1514,[TCP Out-Of-Order] 37376  >  5000 [ACK] Seq=184002 Ack=1 Win=64512 Len=1448 TSval=1939744987 TSecr=3899641674,1448
145,2.245328,172.28.0.10,172.28.0.20,TCP,78,5000  >  37376 [ACK] Seq=1 Ack=185450 Win=97280 Len=0 TSval=3899641774 TSecr=1939744987 SLE=191242 SRE=192690,0
146,2.272579,172.28.0.20,172.28.0.10,TCP,1514,[TCP Retransmission] 37376  >  5000 [ACK] Seq=186898 Ack=1 Win=64512 Len=1448 TSval=1939745015 TSecr=3899641674,1448
147,2.272613,172.28.0.10,172.28.0.20,TCP,86,[TCP Dup ACK 145#1] 5000  >  37376 [ACK] Seq=1 Ack=185450 Win=97280 Len=0 TSval=3899641802 TSecr=1939744987 SLE=186898 SRE=188346 SLE=191242 SRE=192690,0
