"No.","Time","Source","Destination","Protocol","Length","Info"
"48","0.400817","172.28.0.10","172.28.0.20","TCP","66","5000  >  37376 [ACK] Seq=1 Ack=53682 Win=96256 Len=0 TSval=3899639930 TSecr=1939743143"
"49","0.500770","172.28.0.20","172.28.0.10","TCP","2962","37376  >  5000 [PSH, ACK] Seq=53682 Ack=1 Win=64512 Len=2896 TSval=1939743243 TSecr=3899639930"
"50","0.500811","172.28.0.10","172.28.0.20","TCP","66","5000  >  37376 [ACK] Seq=1 Ack=56578 Win=96256 Len=0 TSval=3899640030 TSecr=1939743243"
"51","0.500815","172.28.0.20","172.28.0.10","TCP","2962","37376  >  5000 [PSH, ACK] Seq=56578 Ack=1 Win=64512 Len=2896 TSval=1939743243 TSecr=3899639930"
"52","0.500853","172.28.0.20","172.28.0.10","TCP","2962","37376  >  5000 [PSH, ACK] Seq=59474 Ack=1 Win=64512 Len=2896 TSval=1939743243 TSecr=3899639930"
"53","0.500857","172.28.0.20","172.28.0.10","TCP","2962","37376  >  5000 [PSH, ACK] Seq=62370 Ack=1 Win=64512 Len=2896 TSval=1939743243 TSecr=3899639930"
"54","0.500860","172.28.0.20","172.28.0.10","TCP","2962","37376  >  5000 [PSH, ACK] Seq=65266 Ack=1 Win=64512 Len=2896 TSval=1939743243 TSecr=3899639930"
"55","0.500867","172.28.0.20","172.28.0.10","TCP","2962","37376  >  5000 [PSH, ACK] Seq=68162 Ack=1 Win=64512 Len=2896 TSval=1939743243 TSecr=3899639930"
"56","0.500921","172.28.0.10","172.28.0.20","TCP","66","5000  >  37376 [ACK] Seq=1 Ack=71058 Win=96256 Len=0 TSval=3899640030 TSecr=1939743243"
"57","0.600895","172.28.0.20","172.28.0.10","TCP","2962","[TCP Previous segment not captured] 37376  >  5000 [PSH, ACK] Seq=72506 Ack=1 Win=64512 Len=2896 TSval=1939743343 TSecr=3899640030"
"58","0.600935","172.28.0.10","172.28.0.20","TCP","78","[TCP Dup ACK 56#1] 5000  >  37376 [ACK] Seq=1 Ack=71058 Win=96256 Len=0 TSval=3899640130 TSecr=1939743243 SLE=72506 SRE=75402"
"59","0.600980","172.28.0.20","172.28.0.10","TCP","2962","37376  >  5000 [PSH, ACK] Seq=75402 Ack=1 Win=64512 Len=2896 TSval=1939743343 TSecr=3899640030"
"60","0.600986","172.28.0.10","172.28.0.20","TCP","78","[TCP Dup ACK 56#2] 5000  >  37376 [ACK] Seq=1 Ack=71058 Win=96256 Len=0 TSval=3899640130 TSecr=1939743243 SLE=72506 SRE=78298"
"61","0.600988","172.28.0.20","172.28.0.10","TCP","2962","37376  >  5000 [PSH, ACK] Seq=78298 Ack=1 Win=64512 Len=2896 TSval=1939743343 TSecr=3899640030"
